kabupaten_kota,luas_panen_jahe (m²),luas_panen_kapulaga (m²),luas_panen_keji_beling (m²),luas_panen_kencur (m²),luas_panen_kunyit (m²),luas_panen_laos/lengkuas (m²),luas_panen_lempuyang (m²),luas_panen_lidah_buaya (m²),luas_panen_mahkota_dewa (pohon),luas_panen_mengkudu/pace (pohon),luas_panen_sambiloto (m²),luas_panen_temuireng (m²),luas_panen_temukunci (m²),luas_panen_temulawak (m²),luas_panen_jeruk_nipis (pohon),luas_panen_serai (m²),tahun
Bondowoso,367950.0,0.0,0.0,17150.0,6618000.0,78680.0,200.0,0.0,0.0,261.0,0.0,19400.0,13500.0,104500.0,89.0,2308.0,2024
Situbondo,470531.0,0.0,0.0,0.0,133.0,76.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,104.0,50.0,2024
Probolinggo,367888.0,102000.0,0.0,79062.0,237700.0,100293.0,12500.0,2.0,18.0,594.0,0.0,164229.0,135697.0,109209.0,7306.0,22576.0,2024
Pasuruan,322902.0,33817.0,0.0,195411.0,783753.0,443828.0,73815.0,3000.0,55176.0,6577.0,130085.0,263724.0,58933.0,705583.0,55815.0,26234.0,2024
Sidoarjo,377.0,0.0,0.0,64.0,1050.0,504.0,1.0,17.0,0.0,262.0,0.0,84.0,0.0,225.0,795.0,30483.0,2024
Mojokerto,213050.0,0.0,0.0,2979.0,194377.0,28237.0,225.0,3.0,0.0,185.0,0.0,5.0,1213.0,41546.0,1491.0,201167.0,2024
Jombang,48208.0,16646.0,0.0,16918.0,25869.0,17852.0,33364.0,1042.0,187.0,1082.0,167.0,29194.0,2183.0,10965.0,3929.0,15300.0,2024
Nganjuk,61341.0,2655.0,0.0,12915.0,335386.0,55460.0,3769.0,10.0,0.0,0.0,0.0,8572.0,28375.0,12123.0,4782.0,2451.0,2024
Madiun,125707.0,0.0,0.0,5165.0,776573.0,23044.0,342.0,0.0,0.0,0.0,0.0,510.0,2300.0,477.0,641.0,1256.0,2024
Magetan,729449.0,5200.0,0.0,13476.0,1150490.0,25756.0,17546.0,0.0,0.0,137.0,0.0,9500.0,0.0,18032.0,1340.0,36.0,2024
Ngawi,67741.0,0.0,0.0,10277.0,70267.0,40050.0,20.0,460.0,20.0,1111.0,40.0,2811.0,180.0,1610.0,903.0,3996.0,2024
Bojonegoro,79917.0,0.0,0.0,76685.0,258272.0,136170.0,93834.0,11.0,126.0,1235.0,1.0,32523.0,47752.0,32959.0,2130.0,11359.0,2024
Tuban,6101.0,0.0,0.0,5609.0,15455.0,8082.0,3164.0,74.0,118.0,820.0,100.0,676.0,621.0,2550.0,3417.0,841.0,2024
Lamongan,777.0,0.0,0.0,896.0,15536.0,1915.0,162.0,0.0,0.0,984.0,31.0,591.0,80.0,600.0,2115.0,1265.0,2024
Gresik,1045.0,0.0,0.0,391.0,4177774.0,172.0,0.0,0.0,0.0,9.0,0.0,2025.0,410.0,754530.0,437210.0,160200.0,2024
Bangkalan,471.0,225.0,0.0,800.0,4499.0,3914.0,1410.0,125.0,52.0,5562.0,52.0,3667.0,588.0,7645.0,678.0,1339.0,2024
Sampang,11351.0,0.0,0.0,8963.0,23033.0,9080.0,6725.0,0.0,0.0,1363.0,0.0,11098.0,5104.0,9527.0,0.0,2366.0,2024
Pamekasan,77242.0,0.0,0.0,23448.0,126505.0,91502.0,1507.0,0.0,4.0,19508.0,0.0,76475.0,72533.0,93495.0,17.0,3107.0,2024
Sumenep,90955.0,0.0,0.0,48165.0,63704.0,109787.0,17800.0,58.0,30.0,21979.0,200.0,37800.0,12427.0,44595.0,0.0,0.0,2024
Kota Kediri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Kota Blitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Kota Malang,385.0,1030.0,0.0,465.0,3510.0,115.0,100.0,525.0,65.0,95.0,55.0,305.0,185.0,495.0,400.0,330.0,2024
Kota Probolinggo,30.0,0.0,0.0,5.0,12.0,16.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,13.0,55.0,26.0,2024
Kota Pasuruan,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2024
Kota Mojokerto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Kota Madiun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Kota Surabaya,260.0,0.0,0.0,28.0,107.0,82.0,0.0,223.0,22.0,682.0,0.0,0.0,0.0,12.0,5.0,66.0,2024
Kota Batu,202400.0,0.0,0.0,440.0,30432.0,4967.0,75.0,710.0,0.0,0.0,0.0,427.0,0.0,4375.0,60.0,675.0,2024
